Symbol,Close,SMA200,SMA200_dist
DENTUSDT,0.000842,0.0009358000000000001,-10.023509296858315
JSTUSDT,0.02893,0.0258056,12.10744954583501
OCEANUSDT,0.1456,0.1584025,-8.082258802733538
SCRTUSDT,0.904,0.9754,-7.320073815870414
GTCUSDT,1.582,1.846645,-14.331124823666705
SPELLUSDT,0.0008825,0.001061361,-16.85204185946158
KLAYUSDT,0.1435,0.1951445,-26.464747917568783
STMXUSDT,0.006486,0.007224435,-10.221352950092303
JASMYUSDT,0.005106,0.006974635,-26.791867961549237
XNOUSDT,0.739,0.798515,-7.453210021101668
STXUSDT,0.301,0.331555,-9.215665575847144
RAYUSDT,0.477,0.57011,-16.3319359421866
MINAUSDT,0.526,0.591905,-11.134388119715155
CKBUSDT,0.0037,0.0038508,-3.916069388179079
DGBUSDT,0.00854,0.0094856,-9.96879480475668
SCUSDT,0.00325,0.00356155,-8.747595850121444
BICOUSDT,0.37,0.42534,-13.010767856303193
